Group,SAP Material 
P520_GLU,20589604
P520_GLU,20589375
P520_GLU,20589395
P520_GLU,20589607
P520_GLU,20589391
P520_GLU,20589608
P520_GLU,20590493
P520_GLU,20590442
P520_GLU,20589602
P520_GLU,20590439
P520_GLU,20589631
P520_GLU,20590438
P520_GLU,20589860
P520_GLU,20589597
P520_GLU,20589609
P520_GLU,20589605
P520_GLU,20589390
P520_GLU,#N/A
P520_MIC,20589458
P520_MIC,20589083
P520_SOL,20589428
P520_SOL,20589489
P520_SOL,20589518
P520_SOL,20591830
P520_SOL,20590264
P520_SOL,20589862
P520_SOL,20589853
P520_SUD,20588548
P520_YMM,20588803
P520_YMM,20588976
P520_YMM,20588978
P520_YMM,20588979
P520_YMM,20588980
P520_YMM,20588982
P520_YMM,20588990
P520_YMM,20588991
P520_YMM,20588992
P520_YMM,20589941
P520_YMM,20589277
P520_YMM,20591609
P520_YMM,20591610
P520_YMM,20591654
P520_YMM,20591828
P520_YMM,20589581
P520_YMM,20592254
P520_YMM,20589939
P520ACDM,#N/A
P520DARE,20589538
P520FGMG,20589206
P520FMIC,20591840
P520FSOR,20589625
P520FSOR,20589624
P520GMI1,20589920
P520GMIC,20588789
P520HUN2,20589326
P520HUN2,20592498
P520HUNT,20592411
P520MICM,20591842
P520MICM,20591846
P520MICM,20589940
P520MODF,20589713
P520MODF,20589041
P520MODF,20589042
P520MODF,20589208
P520MODF,20589222
P520MODF,20589349
P520MODF,20592412
P520MODF,20588973
P520MODF,20589595
P520MODF,20589596
P520MODF,20592392
P520MSAG,20589619
P520MYMM,20589715
P520SOL2,20589429
P520SOL2,20589327
P520SOL2,20591605
P520SOL2,20592140
P520SOL2,20591788
P520SOL2,20592413
P520SOL2,20592491
P520SOLB,20589502
P520VIN2,20590238
P520VING,20591825
